curve_ID,species,standardisedtraitname,temp,z,zLwr,zUpr
5,Antestiopsis thunbergii,z,15.225225225225225,0.16881406674633664,25.33657745167633,0.030956752690419857
5,Antestiopsis thunbergii,z,15.27027027027027,0.16195527143247332,22.30386419976036,0.03061207265517234
5,Antestiopsis thunbergii,z,15.315315315315315,0.15539057470680379,19.635048774011878,0.03027312103528387
5,Antestiopsis thunbergii,z,15.36036036036036,0.1491073642063356,17.28637377519869,0.02993981514927597
5,Antestiopsis thunbergii,z,15.405405405405405,0.14309357258326377,15.219354715584851,0.029612073606034402
5,Antestiopsis thunbergii,z,15.45045045045045,0.13733765379840665,13.400143263696949,0.029289816284703778
5,Antestiopsis thunbergii,z,15.495495495495495,0.1318285604525153,11.798967546404432,0.028972964314896522
5,Antestiopsis thunbergii,z,15.54054054054054,0.12655572210995195,10.389640163563323,0.02866144005722351
5,Antestiopsis thunbergii,z,15.585585585585585,0.12150902457081775,9.149125705962337,0.02835516708413051
5,Antestiopsis thunbergii,z,15.63063063063063,0.11667879004995362,8.05716056477904,0.028063872571499154
5,Antestiopsis thunbergii,z,15.675675675675675,0.11205575822268073,7.09591869655956,0.02777992713370396
5,Antestiopsis thunbergii,z,15.72072072072072,0.10763106809930106,6.249717777150674,0.027500446584476725
5,Antestiopsis thunbergii,z,15.765765765765765,0.10339624069173725,5.504760853637446,0.027225372014373393
5,Antestiopsis thunbergii,z,15.81081081081081,0.09934316243761551,4.848909196921582,0.026954645373773893
5,Antestiopsis thunbergii,z,15.855855855855856,0.09546406934833283,4.271482578852563,0.026688209460462742
5,Antestiopsis thunbergii,z,15.9009009009009,0.09175153184936179,3.763083655831915,0.026426007907396312
5,Antestiopsis thunbergii,z,15.945945945945946,0.08819844028237585,3.315443543094235,0.02616798517065504
5,Antestiopsis thunbergii,z,15.99099099099099,0.08479799104002711,2.9212860172804844,0.025914086517571305
5,Antestiopsis thunbergii,z,16.036036036036034,0.0815436733057223,2.574208095444145,0.02566425801504054
5,Antestiopsis thunbergii,z,16.08108108108108,0.07842925637165207,2.2685750113818535,0.02542020047200629
5,Antestiopsis thunbergii,z,16.126126126126124,0.07544877750989483,1.999427849902709,0.025180387618674586
5,Antestiopsis thunbergii,z,16.17117117117117,0.07259653037210113,1.7624023101916968,0.024969536954736988
5,Antestiopsis thunbergii,z,16.216216216216214,0.06986705389477647,1.564746222877614,0.02480621869679343
5,Antestiopsis thunbergii,z,16.26126126126126,0.06725512168780748,1.3821931789896298,0.024580098165796233
5,Antestiopsis thunbergii,z,16.306306306306304,0.06475573188518075,1.2227981437805417,0.024346067489314085
5,Antestiopsis thunbergii,z,16.35135135135135,0.062364097437522935,1.078666349436664,0.024120336056246566
5,Antestiopsis thunbergii,z,16.396396396396394,0.060075636827200865,0.951667122820725,0.023943011054871947
5,Antestiopsis thunbergii,z,16.44144144144144,0.0578859651873649,0.83977175645981,0.02379456392911399
5,Antestiopsis thunbergii,z,16.486486486486484,0.05579088580735727,0.740999116102731,0.023568342865943396
5,Antestiopsis thunbergii,z,16.53153153153153,0.053786382007447515,0.6548588497924518,0.023355203049715948
5,Antestiopsis thunbergii,z,16.576576576576574,0.051868609366849346,0.5862725658148248,0.02315260544661872
5,Antestiopsis thunbergii,z,16.62162162162162,0.05003388828945872,0.5250562197686787,0.022907347201345622
5,Antestiopsis thunbergii,z,16.666666666666664,0.04827869689259984,0.4703442355816603,0.02266819807482471
5,Antestiopsis thunbergii,z,16.71171171171171,0.046599664204647055,0.42144437458255013,0.02245285346061334
5,Antestiopsis thunbergii,z,16.756756756756754,0.044993563657978956,0.37720064611793486,0.022242391199891434
5,Antestiopsis thunbergii,z,16.8018018018018,0.043457306864425095,0.3374582998187919,0.02203725560974024
5,Antestiopsis thunbergii,z,16.846846846846844,0.041987937660781925,0.3020297869856616,0.021836245853119104
5,Antestiopsis thunbergii,z,16.89189189189189,0.04058262641267825,0.27044629468976705,0.0216492489165378
5,Antestiopsis thunbergii,z,16.936936936936934,0.039238664565447015,0.24229008358883525,0.021467969550757655
5,Antestiopsis thunbergii,z,16.98198198198198,0.03795345943127317,0.21718891057874165,0.021290394906893412
5,Antestiopsis thunbergii,z,17.027027027027025,0.03672452920224693,0.19481106195096257,0.0211141132908184
5,Antestiopsis thunbergii,z,17.07207207207207,0.035549498179539625,0.17486093007205666,0.02093783924609951
5,Antestiopsis thunbergii,z,17.117117117117115,0.03442609220919646,0.15707507396528675,0.0207707336961047
5,Antestiopsis thunbergii,z,17.16216216216216,0.03335213431561196,0.14121871073239642,0.020606602708511043
5,Antestiopsis thunbergii,z,17.207207207207205,0.03232554052401553,0.12708259058359858,0.02044540910726919
5,Antestiopsis thunbergii,z,17.25225225225225,0.031344315863752345,0.11448021343522113,0.020287576076817106
5,Antestiopsis thunbergii,z,17.2972972972973,0.030406550544501348,0.10324534965249846,0.020133579379083
5,Antestiopsis thunbergii,z,17.34234234234234,0.029510416297852515,0.09322983162395014,0.019982333316564398
5,Antestiopsis thunbergii,z,17.38738738738739,0.028654162877102596,0.08430158651254598,0.019840772482061942
5,Antestiopsis thunbergii,z,17.43243243243243,0.02783611470832439,0.07634288378225104,0.01969537486541713
5,Antestiopsis thunbergii,z,17.47747747747748,0.027054667686181418,0.06924877399671173,0.019552952672088408
5,Antestiopsis thunbergii,z,17.52252252252252,0.026308286108142398,0.06297725701002449,0.019413464638297854
5,Antestiopsis thunbergii,z,17.56756756756757,0.02559549974112246,0.05738291754909274,0.019276870161835116
5,Antestiopsis thunbergii,z,17.61261261261261,0.024914901014755957,0.05235610378333892,0.019143129291716996
5,Antestiopsis thunbergii,z,17.65765765765766,0.024265142335824896,0.04787474915870288,0.01901220271801617
5,Antestiopsis thunbergii,z,17.7027027027027,0.023644933518560153,0.043880124476284255,0.018883289888685196
5,Antestiopsis thunbergii,z,17.74774774774775,0.023053039325799864,0.04031983971617766,0.018729428274561834
5,Antestiopsis thunbergii,z,17.792792792792792,0.022488277116173537,0.03714715831728478,0.01858618908043675
5,Antestiopsis thunbergii,z,17.83783783783784,0.02194951459272724,0.03432038583587039,0.01845595695966388
5,Antestiopsis thunbergii,z,17.882882882882882,0.021435667648571143,0.03180232489689635,0.018308156646097747
5,Antestiopsis thunbergii,z,17.92792792792793,0.020945698305354688,0.0295597892313591,0.01816841988960543
5,Antestiopsis thunbergii,z,17.972972972972972,0.020478612740532493,0.02756271382856148,0.017982928474569757
